,title,company,link,task,qualification,preferred
0,"[쿠팡페이] Principal, Business Analyst (Fintech BA)",쿠팡,https://www.wanted.co.kr/wd/65454,"쿠팡 페이의 Business Analyst는 최상의 고객 경험을 창출하기 위해 수백만의 데이터와 실험 결과를 분석하여 인사이트를 찾아 제품에 기여하고, 또한 운영 리포트를 통하여, 성과를 측정합니다. 또한 고객을 이해할 수 있도록 도와주며, 복잡한 비즈니스 질문에 대한 답을 제공합니다. 저희와 함께 최고의 고객 경험을 만드실 열정 있는 분을 찾고 있습니다. 

업무 내용: 

• 데이터 기반의 의사결정을 위해 Product Owner, Designer, Engineer, Business Stakeholder와 협업  
• 주간, 월간, 분기별 비즈니스 리포트 생성 및 관리, 여러 팀과 협업하여 high-level 인사이트를 도출, 이를 주요 Stakeholder와 임원진에 제시 
• 사고적 리더십(Thought Leadership)을 발휘하며 SME (Subject Matter Expert)의 역할수행  
• 새로운 데이터 관점과 인사이트를 통해서 최고의 결제 경험을 창출하도록 기여","• 5년 이상의 데이터 분석 관련 경험 
• 빅데이터 분석 환경에 대한 경험과 이해도가 있는분 (Hive, Hadoop, Presto 등) 
• 로그 수준의 데이터 수집/가공부터 분석까지의 전체 프로세스를 경험 
• SQL, Excel, Python, R/SAS 등 통계 분석용 소프트웨어 활용 경험 
• Tableau, Power BI 등 데이터 시각화 툴 사용 경험 
• 데이터와 인사이트를 구체적이고 실행 가능한 제안으로 발전시킨 경험 
• 복잡한 분석 내용을 명확하고 명료하게 구두 및 서면으로 전달하는 능력  
• 역동적이고 빠르게 변하는 환경에서 신속하게 사고 및 대응하며, 오너십을 가지고 자발적으로 행동하는 사람 
• 뛰어난 비판적 사고와 섬세함으로 정형화되지 않은 문제를 해결하는 역량","• 물리학, 통계학, 수학, 컴퓨터공학 석사 학위 혹은 해당 분야에서 그에 준하는 경험 
• 이커머스 프로덕트, 핀테크 프로덕트 분석 경험 
• Hadoop, Spark 및 Presto와 같은 빅데이터 기술 사용 경험 
• 유창한 영어, 한국어 구술 및 작문 실력"
1,런드리고 데이터 분석가,의식주컴퍼니,https://www.wanted.co.kr/wd/65726,"1. 의사결정 지원을 위한 분석 모델링
- 분석 모델링 수행, 고객 분석주제(Use Case) 도출
- 데이터 분석 프로젝트 수행, 지원
- 분석 모델링, 모델 평가, 모델 전개 등 분석기법 적용, 실행지원
- R, Python, SQL 등을 통한 정형/비정형 데이터 추출, 가공, 분석, Visualization, 레포팅

2. 머신러닝 분석을 통한 비즈니스 인사이트 도출
- 가치창출을 위한 비즈니스 문제 정의 및 해결
- C레벨 대상 Pre-Sales","- IT분야 경력 4년 이상(3~4년)
- 통계분석 알고리즘 이해 및 활용능력 (데이터 마이닝, 머신러닝 전문지식)
- 데이터분석 및 시각화 툴(R, Python, Splunk, Tableau) 활용능력 중급이상
- 도출된 분석결과를 논리적, 체계적으로 보고할 수 있는 능력
- 다양한 고객과의 커뮤니케이션 및 제안 능력","- 빅데이터 분석 프로젝트 수행 경험자 우대 (마케팅, 제조, 물류, 서비스)
- 수학/통계/컴퓨터공학/산업공학 등 AI 유관 전공 석/박사 우대
- 데이터 전문가, 빅데이터 플랫폼 사용 경험자 우대
- 고급분석(XAI, 앙상블 모델링, 딥러닝, Auto ML, 베이시안 최적화 등) 수행 경험자 우대"
2,Head of Growth,프로젝트바닐라,https://www.wanted.co.kr/wd/69930,"• 프로젝트바닐라의 서비스 핵심 지표 관리 및 데이터 분석
• 다양한 실험을 통해 고객 funnel별 conversion을 높일 수 있는 최적의 마케팅 방식을 찾고 이를 바탕으로 사용자 및 거래 볼륨 등 회사의 양적 성장을 주도
• 유저 데이터 분석을 통해 주요 지표 개선 또는 신규 서비스와 관련한 다양한 인사이트를 도출하고 이를 회사의 목표와 연결하는 임무
• 연간/ 분기별 전사 마케팅 전략 및 예산 수립/ 실행","• 빠르게 성장하는 조직에서 마케팅, 데이터 분석, 또는 사업 기획 업무를 경험하신 분
• GA, Applsflyer, Facebook Analytics 등 데이터 분석 툴을 활용해 각종 지표를 개선한 경험이 있으신 분
• 다양한 데이터 분석 경험을 넘어 갖고 노는 경지에 이르신 분
• 5인 이상의 팀을 이끌어 본 경험이 있으신 분","• B2C 분야 신규 서비스 런칭 경험이 있으신 분
• 금융 투자 분야에 대한 이해도가 높으신 분"
3,전략기획 전문가,해줌,https://www.wanted.co.kr/wd/49216,"• 전사/서비스별 중장기 전략 기획 및 로드맵 수립
• KPI 지표 관리 및 추진 현황 모니터링
• 사업방향성 수립을 위한 인사이트 제공
• 데이터 분석을 통한 비즈니스 의사결정 지원
• 신규 사업 개발 및 지원","• 유관 경력 7년 이상
• 시장 조사 및 데이터 분석을 통해 서비스 문제를 진단하고 해결할 수 있는 분
• 도큐멘테이션, 리포팅 및 프레젠테이션 역량을 갖춘 분","• 스타트업, IT업계에서의 전략수립 경험
• 태양광, 전력, 에너지 시장에 대한 이해
• 원활한 대인관계 및 커뮤니케이션 능력"
4,[우아한청년들] 운행 데이터 분석 및 서비스 개선 담당자(3년 이상),우아한형제들(배달의민족),https://www.wanted.co.kr/wd/60917,"- 배민라이더스 배달데이터 분석 및 개선/이슈 파악
- 배달품질 모니터링 및 실시간 운영 대응
- 운행관련 KPI 달성을 위한 기획 및 운영 활동","- 데이터 분석을 통해 인사이트를 도출해내고, 결과로 정리가 가능하신 분
- 엑셀 등 데이터 분석 툴 활용에 능숙하신 분","- 숫자 기반의 논리적 추론과 결과를 바탕으로 사업적 측면에서 커뮤니케이션 역량을 갖춘 분
- 지표들을 통한 분석이 가능하고, 데이터와 숫자를 통한 인사이트가 뛰어나신 분
- 배달에 대한 이해도가 높거나, 관련 산업을 경험해본 분"
5,[아이디어스] Business Data Analyst,백패커(idus),https://www.wanted.co.kr/wd/69506,"• 비지니스 데이터 분석 및 BI 대시보드 운영
• 마케팅 주요 지표 정의/관리 및 성과 분석
• 퍼포먼스/CRM 마케팅 성과 향상을 위한 데이터 인사이트 발굴
• 고객 데이터 분석을 통한 마케팅 전략 수립 및 지원","• 데이터 분석 실무 (2년이상)
• SQL 활용 능력 (SQL 기술 면접 진행)
• 데이터를 명확하고 쉽게 전달할 수 있는 커뮤니케이션 능력
• 데이터 기반 인사이트를 서비스에 적용할 수 있는 비즈니스 논리 보유
• 데이터에 지나치게 의존하지 않는 균형 잡힌 사고","• Redash, Tableau 등 BI 툴 사용 경험이 있으신 분
• 통계학, 수학 등 데이터 분석 관련 전공하신 분
• IT/커머스/스타트업의 환경에 대한 이해도가 높고, 적성이 맞는 분
• 앱/웹 서비스 데이터 분석 경험이 있으신 분
• 마케팅 데이터 분석 경험
• 국가보훈대상자, 장애인등록증을 보유하신 분"
6,[아이디어스] Product Data Analyst (2년이상~4년미만),백패커(idus),https://www.wanted.co.kr/wd/55172,"- 프로덕트/비즈니스 데이터 분석 및 Key metrics 설계
- AB Test 기반 가설 설정-검증-방향성 도출, 지표 향상 방안 수립
- 프로덕트 지표 및 BI 대시보드 운영
- 퍼널 분석을 위한 로그 데이터 설계","- 비즈니스 데이터 분석 실무 (2년이상~4년미만)
- SQL 활용 능력 상급 (SQL 기술 면접 진행)
- 데이터를 명확하고 쉽게 전달할 수 있는 커뮤니케이션 능력
- 데이터 기반 인사이트를 서비스에 적용할 수 있는 비즈니스 논리 보유
- 데이터에 지나치게 의존하지 않는 균형 잡힌 사고","- 통계학, 수학 등 데이터 분석 관련 전공하신 분
- 앱/웹 서비스 데이터 분석 경험이 있으신 분
- Tableau, Power BI 등 BI 툴 사용 경험이 있으신 분
- IT/커머스/스타트업의 환경에 대한 이해도가 높고, 적성이 맞는 분
- 마케팅, 개발, 앱서비스에 대한 이해 및 경험이 있으신 분"
7,[아이디어스] Product Data Analyst (4년이상~8년미만),백패커(idus),https://www.wanted.co.kr/wd/55174,"- 프로덕트/비즈니스 데이터 분석 및 Key metrics 설계
- AB Test 기반 가설 설정-검증-방향성 도출, 지표 향상 방안 수립
- 프로덕트 지표 및 BI 대시보드 운영
- 퍼널 분석을 위한 로그 데이터 설계","- 비즈니스 데이터 분석 실무 4년 이상~8년 미만
- SQL 활용 능력 상급 (SQL 기술 면접 진행)
- 데이터를 명확하고 쉽게 전달할 수 있는 커뮤니케이션 능력
- 데이터 기반 인사이트를 서비스에 적용할 수 있는 비즈니스 논리 보유
- 데이터에 지나치게 의존하지 않는 균형 잡힌 사고","- 통계학, 수학 등 데이터 분석 관련 전공하신 분
- 앱/웹 서비스 데이터 분석 경험이 있으신 분
- Tableau, Power BI 등 BI 툴 사용 경험이 있으신 분
- IT/커머스/스타트업의 환경에 대한 이해도가 높고, 적성이 맞는 분
- 마케팅, 개발, 앱서비스에 대한 이해 및 경험이 있으신 분"
8,iMarket 쇼핑몰 서비스 기획/운영,아이마켓코리아,https://www.wanted.co.kr/wd/71435,"• 프로젝트 진행 및 관리(PM업무등)
• 프론트/백오프리 기획, UI/UX 설계
• 개발/영업부서 협업 및 지원","• 쇼핑몰 기획/운영 업무 경력 5년이상
• 쇼핑몰 프론트/백오피스 기획 및 운영 경험 필수
• 검색 서비스 기획/운영 경험 필수","• 포털/쇼핑몰 검색 업무 경험자 우대
• Google Analytics 운영 가능자 우대
• 이커머스에 대한 이해도, 원활한 커뮤니케이션 가능자"
9,B2B 오픈마켓 담당자 (시니어),마켓보로,https://www.wanted.co.kr/wd/53800,"• 온라인 판매 기획/상품 운영, 목표 실적(KPI) 관리(코호트 분석, 그로스 지표 관리) 
• 연/분기/월 별 프로모션 전략 및 컨셉 기획,
• GMV 상승을 위한 쿠폰/결제 프로모션 스킴 기획, 운영, 분석
• CS 방향 설정, Seller 프로그램 개선안 돌출 및 고도화   
• 식자재 유통 시장 및 식자재 커머스 플랫폼 시장 조사","• 이커머스/온라인 유료 서비스 운영 유관 경력이 7년 이상이신 분(총괄 경력 우대)
• 그로스마케팅, 퍼포먼스 마케팅을 이해 하시는 분
• 쿠폰 할인, 회원관리, 결제 제휴 프로모션 기획, 운영, 분석 역량을 가지신 분
• 사업, 디자인, 개발, 운영 등 다양한 직군과 원활한 커뮤니케이션이 가능한 분

[업무활용툴]

• Jira, Confluence, Slack, 구글드라이브, MS Office, 스케치, XD, 피그마등 프로토타입툴 및 SQL, 태블로 등 데이터 분석툴","• 사업및 과업의 우선순위(올바른 비전과 전략)를 명확히 결정할 수 있는 분
• 조직을 리딩하여 성과를 내고 변화를 정착시키는 분
• 이커머스, 유통 업계에 대한 관심과 이해도가 높은 분
• 다양하고 복잡한 문제 해결을 즐기시는 분
• 주도적으로 목표를 세우고 달성해 본 경험이 있는 분
• 빠른 속도로 성장하는 스타트업에서 핵심적인 역할을 수행해 본 경험이 있는 분"
